Account,User,JobID,Start,End,AllocCPUS,Elapsed,AllocTRES,CPUTime,AveRSS,MaxRSS MaxR,SSTask M,axRSSNode,,NodeList E,xitCode,State,,Group,Jobs
pughlab,hshirley,2398043,2021-05-28T14:45:42,2021-05-28T15:20:24,1,0:34:42,"billing=50,cpu=1,mem=200G,nod+",0:34:42,,,,,,node96,0:00,COMPLETED,,,
pughlab,hshirley,2398532,2021-05-28T16:13:15,2021-05-28T16:13:22,1,0:00:07,"billing=50,cpu=1,mem=200G,nod+",0:00:07,,,,,,node96,1:00,FAILED,,,
pughlab,hshirley,2398533,2021-05-28T16:19:15,2021-05-28T16:21:14,1,0:01:59,"billing=50,cpu=1,mem=200G,nod+",0:01:59,,,,,,node96,0:00,COMPLETED,,,
pughlab,hshirley,2398598,2021-05-28T16:28:15,2021-05-28T16:50:42,1,0:22:27,"billing=50,cpu=1,mem=200G,nod+",0:22:27,,,,,,node96,0:00,COMPLETED,,,
pughlab,pluo,2398680,2021-05-28T17:15:37,2021-05-28T18:41:35,3,1:25:58,"billing=25,cpu=3,mem=100G,nod+",4:17:54,,,,,,node96,0:00,COMPLETED,,,
pughlab,pluo,2399072,2021-05-28T22:58:24,2021-05-29T02:58:47,3,4:00:23,"billing=25,cpu=3,mem=100G,nod+",12:01:09,,,,,,node96,1:00,FAILED,,,
pughlab,pluo,2399074,2021-05-28T23:04:28,2021-05-30T00:40:12,3,1-01:35:44,"billing=75,cpu=3,mem=300G,nod+",3-04:47:12,,,,,,node96,0:00,COMPLETED,,,
pughlab,pluo,2399242,2021-05-30T15:53:16,2021-06-01T14:56:38,3,1-23:03:22,"billing=75,cpu=3,mem=300G,nod+",5-21:10:06,,,,,,node96,0:00,COMPLETED,,,
pughlab,pluo,2399243,2021-05-30T15:55:16,2021-05-30T20:19:51,3,4:24:35,"billing=25,cpu=3,mem=100G,nod+",13:13:45,,,,,,node96,0:00,COMPLETED,,,
bhklab,lin,2400213,2021-05-31T10:25:45,2021-05-31T11:41:17,15,1:15:32,"billing=30,cpu=15,mem=120G,no+",18:53:00,13820444K,13820444K,0,node96,,node96,0:00,COMPLETED,,,
pughlab,wderek,2400217,2021-05-31T10:33:17,2021-05-31T11:47:26,1,1:14:09,"billing=90,cpu=1,mem=360G,nod+",1:14:09,,,,,,node96,0:00,COMPLETED,,,
hoffmangr+,wilsons,2400439,2021-05-31T11:41:47,2021-05-31T11:41:48,1,0:00:01,"billing=175,cpu=1,mem=700G,no+",0:00:01,,,,,,node96,2:00,FAILED,,,
hoffmangr+,wilsons,2400485,2021-05-31T12:14:17,2021-05-31T12:14:18,1,0:00:01,"billing=175,cpu=1,mem=700G,no+",0:00:01,,,,,,node96,2:00,FAILED,,,
